Zone,Consommation-Personnelle (kg/pers/an),Production-Totale,Importations-Totale,Exportations-Totale,Consommation-Totale,Disponibilité-Intérieure-Totale,Production-Poulet,Importations-Poulet,Exportations-Poulet,Consommation-Poulet,Disponibilité-Intérieure-Poulet,Nbre habitant,Évolution-pop (% en 2007-2017),Stabilité-Politique,PIB/habitant ($)
Niger,501870000.0,14423000000.0,1150000000.0,311000000.0,10842000000.0,14859000000.0,19000000.0,3000000.0,0.0,20000000.0,21000000.0,21602382.0,47.1,-1.27,1156.0
Nigéria,629890000.0,10716000000.0,9818000000.0,717000000.0,6142500000.0,11936500000.0,201000000.0,0.0,0.0,192000000.0,202000000.0,9757833.0,30.43,-2.0,5120.0
Norvège,934660000.0,8263000000.0,5080000000.0,3513000000.0,4951000000.0,9763000000.0,101000000.0,2000000.0,0.0,101000000.0,102000000.0,5296326.0,12.22,1.17,64050.8
Nouvelle-Calédonie,584490000.0,89000000.0,149000000.0,5000000.0,157000000.0,238000000.0,1000000.0,9000000.0,1000000.0,11000000.0,11000000.0,277150.0,13.9,-0.04,13584.2
Nouvelle-Zélande,737170000.0,28659000000.0,2477000000.0,852500000.0,3464000000.0,5822000000.0,223000000.0,1000000.0,23000000.0,164000000.0,168000000.0,4702034.0,11.08,1.6,42218.5
Népal,690000000.0,26038000000.0,3299000000.0,87000000.0,19069000000.0,27815000000.0,58000000.0,0.0,-1990000.0,55000000.0,58000000.0,27632681.0,4.74,-0.61,3495.5
Oman,709710000.0,1845000000.0,3473000000.0,1005000000.0,3314000000.0,4206000000.0,7000000.0,126000000.0,16000000.0,101000000.0,114000000.0,4665928.0,12.85,0.75,34218.4
Ouganda,539650000.0,29825000000.0,1766000000.0,1973000000.0,22210000000.0,29493000000.0,65000000.0,0.0,0.0,62000000.0,66000000.0,41166588.0,39.61,-0.57,2128.4
Ouzbékistan,923980000.0,65000000.0,10000000.0,0.0,71000000.0,75000000.0,69500000.0,16000000.0,1000000.0,98750000.0,99000000.0,31959785.0,17.48,-0.24,6840.7
Pakistan,469710000.0,10716000000.0,8662000000.0,8155000000.0,6142500000.0,11936500000.0,70000000.0,2000000.0,4000000.0,99500000.0,100000000.0,9757833.0,23.9,-2.41,4891.7
Panama,652670000.0,5352000000.0,1603000000.0,593000000.0,2678000000.0,6309000000.0,198000000.0,20000000.0,0.0,139000000.0,192000000.0,4106769.0,18.91,0.39,30526.4
Paraguay,668390000.0,32070000000.0,643000000.0,10641000000.0,4591000000.0,20751000000.0,45000000.0,1000000.0,4000000.0,41000000.0,41000000.0,6867061.0,14.48,0.0,13604.2
Pays-Bas,945030000.0,48741000000.0,2665000000.0,852500000.0,16093000000.0,50369000000.0,70000000.0,16000000.0,1000000.0,346000000.0,372000000.0,17021347.0,3.12,-0.04,13584.2
Philippines,574160000.0,10716000000.0,15370000000.0,9460000000.0,6142500000.0,11936500000.0,70000000.0,16000000.0,2000000.0,99500000.0,100000000.0,9757833.0,17.64,-1.19,8001.8
Pologne,914390000.0,10716000000.0,14133000000.0,852500000.0,34707000000.0,11936500000.0,70000000.0,55000000.0,1000000.0,99500000.0,100000000.0,37953180.0,-1.04,0.52,29958.1
Polynésie française,678750000.0,230000000.0,157000000.0,9000000.0,186000000.0,374000000.0,1000000.0,15000000.0,0.0,13000000.0,15000000.0,276102.0,5.09,-0.04,13584.2
Portugal,1041190000.0,12584000000.0,11969000000.0,5266000000.0,10716000000.0,18562000000.0,361000000.0,82000000.0,1000000.0,315000000.0,325000000.0,10288527.0,-2.69,1.12,33044.7
Pérou,695800000.0,44186000000.0,8759000000.0,8069000000.0,21877000000.0,46941000000.0,70000000.0,60000000.0,1000000.0,424000000.0,100000000.0,31444298.0,10.98,-0.26,12442.7
Roumanie,1047660000.0,51510000000.0,8093000000.0,15862000000.0,20595000000.0,36894000000.0,392000000.0,146000000.0,1000000.0,381000000.0,381000000.0,19653969.0,-6.56,0.06,26943.3
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,903960000.0,74136000000.0,2665000000.0,14656000000.0,6142500000.0,11936500000.0,70000000.0,16000000.0,1000000.0,99500000.0,100000000.0,66727460.0,8.58,0.39,46372.4
Rwanda,725560000.0,7847000000.0,616000000.0,57000000.0,8692000000.0,9101000000.0,19000000.0,0.0,0.0,18000000.0,19000000.0,11980961.0,29.19,0.09,1935.0
République centrafricaine,480620000.0,2670000000.0,46000000.0,2000000.0,2206000000.0,2706000000.0,7000000.0,4000000.0,-2290000.0,11000000.0,11000000.0,4596023.0,9.48,-2.01,839.6
République de Corée,799050000.0,34733000000.0,2665000000.0,3305000000.0,6142500000.0,61001000000.0,838000000.0,137000000.0,6000000.0,854000000.0,854000000.0,51096415.0,4.2,0.39,40957.4
République de Moldova,584250000.0,7957000000.0,596000000.0,2723000000.0,2370000000.0,5581000000.0,54000000.0,16000000.0,0.0,66000000.0,66000000.0,4059684.0,-1.71,-0.32,11651.2
République dominicaine,788930000.0,15241000000.0,3277000000.0,1028000000.0,8289000000.0,17126000000.0,339000000.0,42000000.0,6000000.0,371000000.0,375000000.0,10513104.0,12.57,0.16,16524.5
République démocratique populaire lao,888620000.0,175000000.0,1000000.0,0.0,175000000.0,176000000.0,69500000.0,16000000.0,1000000.0,98750000.0,99000000.0,6953035.0,16.96,0.4,7211.3
République populaire démocratique de Corée,492710000.0,14515000000.0,1001000000.0,128000000.0,12532000000.0,16438000000.0,43000000.0,0.0,0.0,41000000.0,43000000.0,25429825.0,5.13,-0.5,13584.2
République-Unie de Tanzanie,583370000.0,45188000000.0,1708000000.0,998000000.0,31888000000.0,43867000000.0,105000000.0,2000000.0,-2880000.0,103000000.0,108000000.0,54660339.0,34.36,-0.56,2458.3
Saint-Kitts-et-Nevis,527370000.0,28000000.0,28000000.0,1000000.0,23000000.0,50000000.0,0.0,4000000.0,0.0,3000000.0,4000000.0,52045.0,8.93,0.65,29333.4
